id,Date,State,Total Confirmed Cases,Total Deaths
152,Mon 12/26,Oklahoma,1244121,16041
153,Mon 12/26,Oregon,936721,8953
154,Mon 12/26,Pennsylvania,3403953,48881
155,Mon 12/26,Puerto Rico,1079676,5506
156,Mon 12/26,Rhode Island,443645,3800
157,Mon 12/26,South Carolina,1760204,19368
158,Mon 12/26,South Dakota,271433,3136
159,Mon 12/26,Tennessee,2358463,28262
160,Mon 12/26,Texas,8078548,92628
161,Mon 12/26,Utah,1072888,5177
162,Mon 12/26,Vermont,148031,791
163,Mon 12/26,Virgin Islands,23734,127
164,Mon 12/26,Virginia,2195634,22782
165,Mon 12/26,Washington,1879139,15021
166,Mon 12/26,West Virginia,621614,7786
167,Mon 12/26,Wisconsin,1954481,15826
168,Mon 12/26,Wyoming,182581,1959
169,Tue 12/27,Alabama,1568934,21208
170,Tue 12/27,Alaska,301774,1408
171,Tue 12/27,American Samoa,8266,34
172,Tue 12/27,Arizona,2373361,32038
173,Tue 12/27,Arkansas,982272,12690
174,Tue 12/27,California,11779543,100668
175,Tue 12/27,Colorado,1731997,13859
176,Tue 12/27,Connecticut,945045,11733
177,Tue 12/27,Delaware,320581,3205
178,Tue 12/27,District of Columbia,173626,1411
179,Tue 12/27,Florida,7269428,83606
180,Tue 12/27,Georgia,2888123,39913
181,Tue 12/27,Guam,60845,412
182,Tue 12/27,Hawaii,362117,1755
183,Tue 12/27,Idaho,510665,5316
184,Tue 12/27,Illinois,3967450,40627
185,Tue 12/27,Indiana,1996253,25303
186,Tue 12/27,Iowa,884263,10389
187,Tue 12/27,Kansas,914380,9850
188,Tue 12/27,Kentucky,1660077,17751
189,Tue 12/27,Louisiana,1507707,18345
190,Tue 12/27,Maine,305603,2803
191,Tue 12/27,Maryland,1311673,15985
192,Tue 12/27,Massachusetts,2144967,22793
193,Tue 12/27,Michigan,2979504,40715
194,Tue 12/27,Minnesota,1731172,14273
195,Tue 12/27,Mississippi,955145,13124
196,Tue 12/27,Missouri,1742348,23272
197,Tue 12/27,Montana,322552,3635
198,Tue 12/27,Nebraska,555157,4842
199,Tue 12/27,Nevada,874117,11838
