Date,usdbrl,ibov,Volume
2023-10-06,5.164999962,114170,13138200
2023-10-09,5.145699978,115156,9474400
2023-10-10,5.135200024,116737,11621500
2023-10-11,5.051000118,117051,9949800
2023-10-13,5.045899868,115754,10609300
2023-10-16,5.04820013,116534,8989900
2023-10-17,5.03760004,115908,10371700
2023-10-18,5.037399769,114060,15492200
2023-10-19,5.056099892,114004,11497600
2023-10-20,5.062900066,113155,0
2023-10-23,5.031300068,112785,10701800
2023-10-24,5.012300014,113762,10711800
2023-10-25,4.991000175,112830,12306500
2023-10-26,4.994699955,114777,12770600
2023-10-27,4.985300064,113301,12289500
2023-10-30,4.952030182,112532,9741800
