id,Presidency,President,Took office,Left office,Party,Portrait,Home state
27,27.0,William Howard Taft,1909.0,1913.0,Republican,https://cdn.britannica.com/60/71460-050-152A6481/William-Howard-Taft-constitutional-law-Kent-Yale-1921.jpg,Ohio
28,28.0,Woodrow Wilson,1913.0,1921.0,Democratic,https://upload.wikimedia.org/wikipedia/commons/5/53/Thomas_Woodrow_Wilson%2C_Harris_%26_Ewing_bw_photo_portrait%2C_1919.jpg,New Jersey
29,29.0,Warren G. Harding,1921.0,1923.0,Republican,https://cdn.britannica.com/s:300x300/45/1145-004-A9D837E7/Warren-G-Harding.jpg,Ohio
30,30.0,Calvin Coolidge,1923.0,1929.0,Republican,https://upload.wikimedia.org/wikipedia/commons/a/a3/Calvin_Coolidge_cph.3g10777_%28cropped%29.jpg,Massachusetts
31,31.0,Herbert Hoover,1929.0,1933.0,Republican,https://upload.wikimedia.org/wikipedia/commons/5/57/President_Hoover_portrait.jpg,Iowa
32,32.0,Franklin D. Roosevelt,1933.0,1945.0,Democratic,https://www.history.com/.image/ar_16:9%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cg_faces:center%2Cq_auto:good%2Cw_620/MTU3ODc4NjA0MzI3NzU3NTM1/image-placeholder-title.jpg,New York
33,33.0,Harry S. Truman,1945.0,1953.0,Democratic,https://upload.wikimedia.org/wikipedia/commons/e/e6/HarryTruman.jpg,Missouri
34,34.0,Dwight D. Eisenhower,1953.0,1961.0,Republican,https://upload.wikimedia.org/wikipedia/commons/6/63/Dwight_D._Eisenhower%2C_official_photo_portrait%2C_May_29%2C_1959.jpg,Texas
35,35.0,John F. Kennedy,1961.0,1963.0,Democratic,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/John_F._Kennedy%2C_White_House_color_photo_portrait.jpg/1200px-John_F._Kennedy%2C_White_House_color_photo_portrait.jpg,Massachusetts
36,36.0,Lyndon B. Johnson,1963.0,1969.0,Democratic,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/37_Lyndon_Johnson_3x4.jpg/220px-37_Lyndon_Johnson_3x4.jpg,Texas
37,37.0,Richard Nixon,1969.0,1974.0,Republican,https://cdn.britannica.com/73/103073-050-EB4992D4/Richard-M-Nixon-1969.jpg,California
38,38.0,Gerald Ford,1974.0,1977.0,Republican,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDg3MjM0OTUwODc5/gerald_ford.jpg,Michigan
39,39.0,Jimmy Carter,1977.0,1981.0,Democratic,https://upload.wikimedia.org/wikipedia/commons/5/5a/JimmyCarterPortrait2.jpg,Georgia
40,40.0,Ronald Reagan,1981.0,1989.0,Republican,https://www.history.com/.image/c_fit%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_620/MTU3ODc5MDg2NDM2NjU2NDU3/reagan_flags.jpg,California
41,41.0,George H. W. Bush,1989.0,1993.0,Republican,https://upload.wikimedia.org/wikipedia/commons/e/ee/George_H._W._Bush_presidential_portrait_%28cropped%29.jpg,Texas
42,42.0,Bill Clinton,1993.0,2001.0,Democratic,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDgzMjEwMTg4MTA1/bill_clinton.jpg,Arkansas
43,43.0,George W. Bush,2001.0,2009.0,Republican,"https://cdn.britannica.com/s:800x450,c:crop/42/172742-138-B0830C03/overview-George-W-Bush.jpg",Texas
44,44.0,Barack Obama,2009.0,2017.0,Democratic,https://upload.wikimedia.org/wikipedia/commons/8/8d/President_Barack_Obama.jpg,Illinois
45,45.0,Donald Trump,2017.0,2021.0,Republican,https://yt3.ggpht.com/a/AATXAJzBdrKPM8n3_Evl46OScSu61IwrlJG_16CV6Q=s900-c-k-c0xffffffff-no-rj-mo,New York
46,46.0,Joseph Biden,2021.0,Incumbent,Democrat,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Joe_Biden_presidential_portrait.jpg/440px-Joe_Biden_presidential_portrait.jpg,Delaware
