PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr
Kepler-56 c,0,0.569,0.874,21.40239,0.1652,,,,-4.95,84.08,,,transit,2012,15/04/14,19 35 02.01,+41 52 18.7,,1.32,4.22,0.2,4840,3.5
Kepler-56 d,0,3.3,,,2,0.4,,,,,,,RV,2012,15/04/14,19 35 02.01,+41 52 18.7,,1.32,4.22,0.2,4840,3.5
KOI-423 b,0,19.1,1.11,21.087212,0.162,0,,,,89.23,,,transit,2011,15/01/27,19 47 50,+46 02 04,1200,1.26,1.25,0.1,6350,1
HAT-P-51 b,0,0.309,1.293,4.2180278,0.05069,,,,,88.48,1192,,transit,2015,15/03/13,01 24 15.66,+32 48 38.8,470,0.976,1.041,0.27,5449,8.2
HD 13931 b,0,1.88,,4218,5.15,0.02,290,,,,,,RV,2010,16/03/09,02 16 47.37946,+43 46 22.7907,44.2,1.022,1.23,0.03,5829,8.4
Kepler-90 h,0,,1.01,331.60059,1.01,,,,,89.6,,,transit,2013,15/12/03,18 57 44,+49 18 19,834.52,1.2,1.2,-0.12,6080,0.53
Kepler-90 g,0,,0.72,210.60697,0.71,,,,,89.8,,,transit,2013,15/12/03,18 57 44,+49 18 19,834.52,1.2,1.2,-0.12,6080,0.53
Kepler-90 f,0,,0.262455,124.9144,0.48,,,,,89.77,,,transit,2013,13/10/24,18 57 44,+49 18 19,834.52,1.2,1.2,-0.12,6080,0.53
Kepler-90 e,0,,0.242407,91.93913,0.42,,,,,89.79,,,transit,2013,13/10/24,18 57 44,+49 18 19,834.52,1.2,1.2,-0.12,6080,0.53
Kepler-90 d,0,,0.261544,59.73667,0.32,,,,,89.71,,,transit,2013,13/10/24,18 57 44,+49 18 19,834.52,1.2,1.2,-0.12,6080,0.53
Kepler-90 c,0,,0.108445,8.719375,0.089,,,,,89.68,,,transit,2013,13/10/24,18 57 44,+49 18 19,834.52,1.2,1.2,-0.12,6080,0.53
Kepler-90 b,0,,0.119381,7.008151,0.074,,,,,89.4,,,transit,2013,13/10/24,18 57 44,+49 18 19,834.52,1.2,1.2,-0.12,6080,0.53
KIC 8435766 b,0,0.005882,0.109356,0.35500744,,,,,,75.2,,,transit,2013,15/01/27,19 34 57.989,+44 26 54.28,,0.83,0.74,-0.08,5121,0.625
HD 142 A b,2,1.25,,349.7,1.02,0.17,,,,,249.8,,RV,2001,12/12/04,00 06 19,-49 04 30,20.6,1.15,1.43,0.04,6249,4.3
HD 142 A c,2,5.3,,6005,6.8,0.21,,,,,,,RV,2012,12/12/04,00 06 19,-49 04 30,20.6,1.15,1.43,0.04,6249,4.3
Kepler-307 b,0,0.023403,0.29162,10.416,,,,,,,,,transit,2013,16/01/13,19 51 10,+40 25 03,705.48,0.78,1.03,,5577,13.5
Kepler-307 c,0,0.011468,0.25516,13.084,,,,,,,,,transit,2013,16/01/13,19 51 10,+40 25 03,705.48,0.78,1.03,,5577,13.5
KOI-1576.03,0,,0.14854,23.34032,0.152,,,,,,640,,transit,2014,14/02/25,19 51 10,+40 25 03,705.48,0.78,1.03,,5577,13.5
HATS-14 b,0,1.07,1.04,2.766764,0.03815,,,,,89,1276,,transit,2015,15/11/01,20 52 51.715,-25 41 14.40,513,0.97,0.93,0.28,5408,4.9
HATS-15 b,0,2.17,1.105,1.74748753,0.02712,,,,,87.13,,,transit,2015,15/11/26,20 44 22.20,-19 26 15.0,689,0.871,0.922,0,5311,11
HAT-P-49 b,0,1.73,1.413,,0.0438,0,,,,86.2,2131,,transit,2014,14/01/25,20 21 46,-26 41 34,322,1.543,1.833,0.074,6820,2.5
Kepler-407 b,0,,0.097509,0.66931,,,,,,,,,transit,2014,14/02/24,19 04 09,+49 36 52,326.4,1,1.01,0.33,5476,7.47
Kepler-407 c,0,12.582803,,3000,,,,,,,,,RV,2014,14/02/24,19 04 09,+49 36 52,326.4,1,1.01,0.33,5476,7.47
